"Gas Day Start";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working gas volume (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)"
"2022-10-29";"1053.3282";"94.35";"0.22";"2809.06";"324.4";"1116.4443";"11683.31";"19788.61"
"2022-10-28";"1050.8132";"94.25";"0.17";"2384.37";"444.7";"1114.8672";"11565.26";"19592.15"
"2022-10-27";"1048.8261";"94.08";"0.14";"2103.47";"508.8";"1114.8672";"11563.81";"19590.05"
"2022-10-26";"1047.2527";"93.94";"0.09";"1864.4";"821.3";"1114.8672";"11563.81";"19590.05"
"2022-10-25";"1046.225";"93.85";"0.11";"2039.12";"783.8";"1114.8372";"11571.73";"19590.05"
"2022-10-24";"1044.9998";"93.8";"0.16";"2265.4";"441";"1114.0372";"11571.73";"19590.05"
"2022-10-23";"1042.8717";"93.61";"0.24";"3187.86";"471.6";"1114.0372";"11568.76";"19586.12"
"2022-10-22";"1040.4769";"93.4";"0.22";"2942.82";"508.1";"1114.036";"11974.46";"20093.55"
"2022-10-21";"1038.0897";"93.18";"0.12";"2260.57";"899.2";"1114.036";"11974.45";"20093.58"
"2022-10-20";"1036.7378";"93.06";"0.11";"2233.14";"997.4";"1114.036";"11974.48";"20093.51"
"2022-10-19";"1035.5226";"92.92";"0.14";"2370.38";"825.3";"1114.452";"11974.42";"20093.65"
"2022-10-18";"1033.9963";"92.79";"0.17";"2521.83";"676.1";"1114.385";"11974.39";"20093.73"
"2022-10-17";"1032.186";"92.62";"0.21";"3062.98";"709";"1114.385";"11974.4";"20093.72"
"2022-10-16";"1029.8329";"92.41";"0.3";"3831.19";"535.6";"1114.385";"11974.42";"20093.32"
"2022-10-15";"1026.698";"92.13";"0.29";"3744.97";"529.6";"1114.385";"11974.58";"20092.9"
"2022-10-14";"1023.5268";"91.85";"0.2";"2948.46";"741";"1114.385";"12005.59";"19966.87"
"2022-10-13";"1021.3511";"91.73";"0.12";"2450.04";"1084.3";"1113.385";"12005.54";"19967"
"2022-10-12";"1020.0084";"91.62";"0.13";"2345.26";"934.8";"1113.285";"12005.43";"19967.29"
"2022-10-11";"1018.6078";"91.5";"0.17";"2692.69";"779.3";"1113.285";"12005.43";"19967.3"
"2022-10-10";"1016.9667";"91.35";"0.21";"3101.26";"806.1";"1113.285";"12005.55";"19966.97"
"2022-10-09";"1014.5625";"91.13";"0.29";"3847.56";"585.4";"1113.285";"12005.71";"19966.57"
"2022-10-08";"1011.2869";"90.84";"0.32";"4151.71";"582.7";"1113.285";"12005.86";"19966.16"
"2022-10-07";"1007.747";"90.52";"0.28";"3829.46";"715";"1113.2848";"12005.93";"19965.96"
"2022-10-06";"1004.9255";"90.35";"0.26";"3595.19";"755.9";"1112.2788";"12006";"19965.79"
"2022-10-05";"1002.0364";"90.09";"0.24";"3389.69";"697.7";"1112.2797";"11766.08";"19965.58"
"2022-10-04";"999.3721";"89.85";"0.21";"3151.97";"774.8";"1112.2797";"11766.19";"19893.28"
"2022-10-03";"997.0366";"89.64";"0.25";"3409.03";"590.6";"1112.2797";"11766.33";"19892.91"
"2022-10-02";"993.9857";"89.36";"0.35";"3974.39";"111.6";"1112.2797";"11766.45";"19892.61"
"2022-10-01";"990.251";"89.03";"0.3";"3449.45";"155";"1112.2797";"11763.39";"19887.75"
"2022-09-30";"986.7165";"88.72";"0.21";"2737.33";"377";"1112.178";"11763.41";"19888.61"
"2022-09-29";"985.4259";"88.52";"0.15";"2342.51";"664.3";"1113.178";"11763.43";"19888.56"
"2022-09-28";"983.383";"88.25";"0.18";"2633.17";"658.8";"1114.269";"11763.2";"19889.16"
"2022-09-27";"981.8073";"88.17";"0.2";"2626.58";"447.7";"1113.5388";"11763.12";"19889.37"
"2022-09-26";"979.6204";"87.97";"0.23";"2860.15";"327.9";"1113.5308";"11745.91";"19889.5"
"2022-09-25";"977.1055";"87.75";"0.32";"3730.62";"179.8";"1113.5308";"11745.94";"19889.43"
"2022-09-24";"973.5706";"87.43";"0.31";"3578.89";"145";"1113.5308";"11745.97";"19889.34"
"2022-09-23";"970.1641";"87.13";"0.19";"2264.97";"187";"1113.5291";"11746.02";"19889.21"
"2022-09-22";"967.5042";"86.89";"0.23";"2791.58";"265.8";"1113.5193";"11746.07";"19889.09"
"2022-09-21";"965.036";"86.67";"0.21";"2681.59";"333.8";"1113.4029";"11722.1";"19889"
"2022-09-20";"962.673";"86.46";"0.22";"2652.16";"243.4";"1113.3998";"11722.13";"19888.92"
"2022-09-19";"960.249";"86.24";"0.23";"2893.87";"352.3";"1113.3998";"11746.19";"19888.76"
"2022-09-18";"957.7056";"86.02";"0.36";"4163.36";"177.1";"1113.3998";"11746.28";"19888.52"
"2022-09-17";"953.7257";"85.66";"0.37";"4271.9";"179";"1113.3998";"11746.42";"19888.15"
"2022-09-16";"949.6369";"85.29";"0.34";"3940.6";"139.6";"1113.3998";"11746.64";"19887.57"
"2022-09-15";"945.9813";"84.96";"0.25";"3158.45";"376.4";"1113.3998";"11746.84";"19887.05"
"2022-09-14";"943.1947";"84.71";"0.23";"2994.35";"471.1";"1113.3998";"11746.98";"19886.66"
"2022-09-13";"940.6626";"84.49";"0.24";"3034.66";"402.3";"1113.3998";"11747.15";"19886.22"
"2022-09-12";"938.0381";"84.23";"0.25";"3174.94";"372.1";"1113.6025";"11751.89";"19894.59"
"2022-09-11";"935.2336";"83.98";"0.36";"4225.35";"260.7";"1113.6025";"11752.11";"19894.01"
"2022-09-10";"931.267";"83.63";"0.35";"4264.27";"397.2";"1113.6025";"11752.33";"19893.44"
"2022-09-09";"927.3905";"83.28";"0.29";"3770.59";"549.5";"1113.6025";"11752.57";"19892.81"
"2022-09-08";"924.1536";"82.99";"0.31";"3819.69";"391.4";"1113.6025";"11752.75";"19892.33"
"2022-09-07";"920.7261";"82.68";"0.23";"3258.02";"732.4";"1113.6025";"11752.71";"19892.43"
"2022-09-06";"918.1967";"82.45";"0.29";"3742.34";"477.7";"1113.6025";"11752.92";"19891.86"
"2022-09-05";"914.9343";"82.16";"0.31";"3792.58";"380.3";"1113.6025";"11749.29";"19886.49"
"2022-09-04";"911.5136";"81.85";"0.41";"4768.06";"189.5";"1113.596";"11728.14";"19890.61"
"2022-09-03";"906.9198";"81.44";"0.4";"4641.74";"201.4";"1113.596";"11728.36";"19890.04"
"2022-09-02";"902.477";"81.04";"0.31";"3813.82";"314.7";"1113.596";"11728.56";"19889.5"
"2022-09-01";"899.1803";"80.75";"0.25";"3425.37";"672";"1113.596";"11728.51";"19889.66"
"2022-08-31";"895.1805";"80.47";"0.27";"3670.06";"646.1";"1112.4986";"11678.71";"19889.45"
"2022-08-30";"893.8827";"80.35";"0.28";"3643.08";"512.7";"1112.4986";"11678.93";"19888.88"
"2022-08-29";"890.8905";"80.08";"0.28";"3536.61";"424.9";"1112.4986";"11679.16";"19888.28"
"2022-08-28";"887.7874";"79.8";"0.4";"4585.66";"85.6";"1112.5281";"11678.57";"19886.45"
"2022-08-27";"883.3634";"79.4";"0.38";"4347.57";"80";"1112.5281";"11678.86";"19885.66"
"2022-08-26";"879.096";"79.02";"0.32";"3914.75";"373.4";"1112.5281";"11696.23";"19885.13"
"2022-08-25";"875.5603";"78.7";"0.34";"4040.4";"311.9";"1112.5281";"11696.62";"19884.09"
"2022-08-24";"871.8015";"78.36";"0.33";"4017.13";"321";"1112.5281";"11696.73";"19883.8"
"2022-08-23";"868.0798";"78.07";"0.32";"3777.98";"265";"1111.9205";"11696.89";"19883.36"
"2022-08-22";"864.5677";"77.76";"0.32";"3888.53";"278.9";"1111.8694";"11696.42";"19883.1"
"2022-08-21";"860.9635";"77.43";"0.43";"4950.45";"147.1";"1111.8689";"11696.8";"19882.06"
"2022-08-20";"856.1838";"77";"0.44";"4983.22";"103.5";"1111.8689";"11697.28";"19880.78"
"2022-08-19";"851.3247";"76.57";"0.38";"4380.57";"196.4";"1111.8689";"11697.38";"19880.54"
"2022-08-18";"847.1615";"76.19";"0.35";"4294.45";"408.9";"1111.8689";"11697.19";"19881.03"
"2022-08-17";"843.2965";"75.89";"0.33";"3995.41";"380.2";"1111.171";"11697.17";"19881.07"
"2022-08-16";"839.7033";"75.57";"0.37";"4356.91";"217.2";"1111.171";"11697.59";"19879.97"
"2022-08-15";"835.7254";"75.21";"0.4";"4693.55";"218";"1111.171";"11698.01";"19878.85"
"2022-08-14";"831.2696";"74.83";"0.44";"5051.89";"126.7";"1110.9283";"11696.77";"19874.5"
"2022-08-13";"826.3786";"74.39";"0.44";"5059.32";"118.3";"1110.9283";"11697.17";"19873.46"
"2022-08-12";"821.4602";"73.94";"0.39";"4518.97";"181.6";"1110.9283";"11697.41";"19872.81"
"2022-08-11";"817.1451";"73.57";"0.37";"4450.68";"367.1";"1110.6906";"11697.61";"19872.29"
"2022-08-10";"813.0327";"73.2";"0.4";"4657.65";"206.6";"1110.6906";"11697.87";"19871.59"
"2022-08-09";"808.5392";"72.79";"0.39";"4506.06";"153.5";"1110.7194";"11685.06";"19824.69"
"2022-08-08";"804.212";"72.4";"0.38";"4506.46";"264.9";"1110.7194";"11677.41";"19795.21"
"2022-08-07";"799.9859";"72.02";"0.47";"5288.93";"78.1";"1110.7189";"11698.66";"19869.47"
"2022-08-06";"794.7972";"71.56";"0.45";"5141.66";"105.7";"1110.7189";"11699";"19868.56"
